City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
mosjoen,NO,54.12,94,100,1.14,65.836,13.1908,1690246778
yanchep,AU,59.13,42,100,13.91,-31.55,115.6833,1690246778
fort st. john,CA,64.29,68,100,6.91,56.2499,-120.8529,1690246778
susuman,RU,70.75,42,35,10.96,62.7833,148.1667,1690246778
betio village,KI,86.04,73,6,10.54,1.358,172.9211,1690246778
at taj,LY,85.71,20,5,8.5,24.2049,23.2857,1690246778
den burg,NL,58.98,79,75,4.61,53.0542,4.7972,1690246778
chokwe,MZ,65.53,81,94,9.1,-24.5333,32.9833,1690246778
lesosibirsk,RU,65.82,93,99,3.89,58.2358,92.4828,1690246778
nikolayevsk-on-amure,RU,82.04,46,58,6.64,53.1406,140.73,1690246779
yerofey pavlovich,RU,72.21,62,82,3.6,53.9667,121.9667,1690246779
haiku-pauwela,US,86.02,64,20,29.93,20.9219,-156.3051,1690246779
nieves,PH,80.11,85,100,7.2,15.3274,120.9485,1690246779
isangel,VU,69.91,94,100,0.0,-19.55,169.2667,1690246779
champerico,GT,77.54,71,18,5.37,14.3,-91.9167,1690246779
kyelang,IN,50.31,84,51,0.76,32.5833,77.0333,1690246779
caleta de carquin,PE,68.61,80,15,10.85,-11.0925,-77.6267,1690246779
maryville,US,81.48,76,0,1.01,35.7565,-83.9705,1690246611
madhyamgram,IN,80.55,94,40,5.75,22.7,88.45,1690246779
boundiali,CI,72.73,95,100,2.89,9.5217,-6.4869,1690246780
kailua-kona,US,85.96,82,40,11.5,19.6406,-155.9956,1690246780
bam,IR,87.03,12,100,11.45,29.106,58.357,1690246780
igarka,RU,65.52,68,0,6.4,67.4667,86.5833,1690246780
nigel,ZA,50.38,25,32,4.23,-26.4314,28.4771,1690246780
port lincoln,AU,56.5,76,0,11.59,-34.7333,135.8667,1690246780
hirara,JP,89.46,79,75,18.41,24.8,125.2833,1690246780
guelendeng,TD,76.86,73,47,4.9,10.9176,15.5501,1690246780
merizo village,GU,86.99,85,100,12.12,13.2658,144.6691,1690246780
estevan,CA,95.2,34,0,12.66,49.1334,-102.9842,1690246780
fomboni,KM,77.13,72,64,14.03,-12.28,43.7425,1690246780
palmas,BR,75.07,57,0,6.91,-10.2128,-48.3603,1690246689
luderitz,NA,54.79,71,65,1.07,-26.6481,15.1594,1690246781
lichtenburg,ZA,45.81,21,58,7.96,-26.152,26.1597,1690246781
tsiombe,MG,58.68,93,0,5.37,-25.3,45.4833,1690246781
cill airne,IE,49.48,94,12,1.74,52.05,-9.5167,1690246781
pont rouge,CA,66.31,85,100,7.47,48.8833,-72.0825,1690246781
puerto baquerizo moreno,EC,75.85,87,25,11.25,-0.9,-89.6,1690246781
pariaman,ID,77.05,75,54,2.53,-0.619,100.12,1690246781
college,US,89.91,43,40,3.44,64.8569,-147.8028,1690246781
thanh hoa,VN,83.66,81,100,1.88,19.8,105.7667,1690246781
bardai,NG,71.76,86,19,8.93,11.65,7.2333,1690246781
ban dan lan hoi,TH,80.26,78,20,2.71,17.0068,99.575,1690246782
port saint john's,ZA,54.88,70,0,5.14,-31.6229,29.5448,1690246782
iskateley,RU,58.48,89,47,8.39,67.6803,53.1512,1690246782
mukalla,YE,85.66,75,100,2.77,14.5425,49.1242,1690246782
taradale,NZ,58.01,71,24,4.0,-39.5333,176.85,1690246782
selkirk,CA,79.09,58,94,7.74,50.1436,-96.8845,1690246782
copiapo,CL,59.27,72,13,0.85,-27.3667,-70.3333,1690246760
raduzhny,RU,61.61,96,100,4.36,62.0961,77.475,1690246782
inhambane,MZ,69.08,75,90,16.13,-23.865,35.3833,1690246782
alagoinhas,BR,65.17,97,23,3.36,-12.1356,-38.4192,1690246782
moussoro,TD,83.93,56,100,8.28,13.6408,16.4901,1690246782
sanctuary point,AU,63.32,53,5,2.77,-35.1114,150.629,1690246782
ribeira grande,PT,71.78,88,5,7.0,38.5167,-28.7,1690246783
quellon,CL,47.19,94,100,13.35,-43.1167,-73.6167,1690246783
san pedro pochutla,MX,84.7,82,100,1.77,15.7333,-96.4667,1690246783
yaya,RU,64.81,89,98,7.43,56.206,86.44,1690246788
rawlins,US,81.05,25,100,14.83,41.7911,-107.2387,1690246788
sisimiut,GL,43.77,85,37,14.7,66.9395,-53.6735,1690246788
al mindak,SA,76.6,23,99,1.48,20.1588,41.2834,1690246788
siocon,PH,83.73,73,59,12.93,7.7061,122.1353,1690246788
luganville,VU,76.57,95,100,7.2,-15.5333,167.1667,1690246788
palora,EC,64.38,95,89,3.22,-1.7,-77.9333,1690246789
amga,RU,80.55,53,30,5.12,60.8953,131.9608,1690246789
bengkulu,ID,77.18,75,18,3.02,-3.8004,102.2655,1690246789
nova olimpia,BR,73.09,39,0,2.73,-14.7972,-57.2881,1690246789
lorengau,PG,77.52,91,100,9.89,-2.0226,147.2712,1690246789
mirnyy,RU,71.24,64,5,11.01,62.5353,113.9611,1690246790
chui,UY,49.5,93,100,11.45,-33.6971,-53.4616,1690246790
wildwood,US,88.25,62,0,8.05,38.5828,-90.6629,1690246790
cidreira,BR,63.41,96,100,11.92,-30.1811,-50.2056,1690246790
east london,ZA,52.74,63,0,5.06,-33.0153,27.9116,1690246791
claveria,PH,82.22,90,100,21.3,18.6074,121.0832,1690246791
waupaca,US,84.07,51,0,3.44,44.358,-89.086,1690246791
arteche,PH,82.13,75,100,16.46,12.2645,125.4048,1690246791
goiatuba,BR,70.99,54,66,7.4,-18.0125,-49.3547,1690246791
la ligua,CL,50.61,84,7,1.1,-32.4524,-71.2311,1690246755
st. john's,CA,72.79,90,40,18.41,47.5649,-52.7093,1690246652
kharp,RU,63.54,85,100,0.74,66.8014,65.8081,1690246791
port douglas,AU,66.58,66,98,11.79,-16.4833,145.4667,1690246791
mugia,ES,60.91,75,34,10.87,43.1041,-9.2179,1690246791
salym,RU,59.86,91,11,1.16,60.0625,71.4789,1690246792
markaz-e hukumat-e darweshan,AF,84.51,50,94,3.51,31.1323,64.1934,1690246792
margate,GB,58.87,80,100,5.99,51.3813,1.3862,1690246792
cole harbour,CA,72.79,84,100,4.61,44.6724,-63.4751,1690246792
cabo san lucas,MX,91.06,76,16,1.99,22.8909,-109.9124,1690246728
puerto lempira,HN,84.34,74,40,9.22,15.2667,-83.7667,1690246708
domna,RU,60.96,94,40,0.0,51.8971,113.1573,1690246792
yilan,TW,93.06,67,46,9.46,24.757,121.753,1690246792
ak-suu,KG,68.61,44,13,2.24,42.4995,78.527,1690246792
ayr,GB,55.38,82,75,4.61,55.4627,-4.6339,1690246792
yeniseysk,RU,66.52,90,86,3.27,58.4497,92.1703,1690246792
srpska crnja,RS,75.24,53,100,6.17,45.7233,20.6886,1690246793
novodvinsk,RU,49.86,98,31,3.69,64.4165,40.8122,1690246793
dawesville,US,79.36,83,100,3.0,30.9224,-84.0091,1690246793
lira,UG,65.64,92,100,1.74,2.235,32.9097,1690246793
priob'ye,RU,60.85,86,100,8.43,62.5206,65.5964,1690246793
malvan,IN,79.38,85,100,20.0,16.0667,73.4667,1690246793
dwarka,IN,82.13,84,100,18.39,22.2394,68.9678,1690246691
zavodskoy,RU,76.59,83,75,4.47,43.4597,132.2922,1690246793
la'ie,US,87.76,70,0,16.22,21.6477,-157.9253,1690246709
meulaboh,ID,76.59,87,49,4.14,4.1363,96.1285,1690246793
ploudalmezeau,FR,59.29,82,0,9.22,48.5333,-4.65,1690246793
santa rosa de viterbo,BR,67.89,51,80,2.95,-21.4728,-47.3631,1690246525
malmesbury,ZA,40.42,81,0,3.96,-33.4608,18.7271,1690246794
tindouf,DZ,90.05,29,1,11.5,27.6711,-8.1474,1690246794
floro,NO,57.16,82,100,9.22,61.5996,5.0328,1690246794
mashhad,IR,75.34,46,0,4.61,36.297,59.6062,1690246794
taro,ID,71.6,72,13,1.79,-8.3862,115.28,1690246794
plastun,RU,82.99,62,17,4.0,44.7561,136.2939,1690246794
singera,MD,70.5,68,0,6.91,46.9131,28.9775,1690246794
quesada,CR,78.31,97,100,4.29,10.3238,-84.4271,1690246794
suoyarvi,RU,51.82,98,100,3.11,62.0833,32.35,1690246794
mili,MH,83.25,77,93,11.21,6.0815,171.735,1690246794
illizi,DZ,85.8,11,0,8.9,26.4833,8.4667,1690246794
buckhannon,US,73.4,82,0,1.01,38.994,-80.232,1690246795
lamu,KE,75.42,80,61,14.94,-2.2717,40.902,1690246795
yuzhno-kurilsk,RU,71.44,84,51,3.51,44.0306,145.8556,1690246795
rutana,BI,58.3,61,4,3.22,-3.8667,30.1,1690246795
la passe,FR,62.98,75,100,17.38,45.5549,-0.8967,1690246795
achinsk,RU,65.08,87,74,8.03,56.2694,90.4993,1690246795
yigo village,GU,85.75,79,40,12.66,13.5361,144.8886,1690246795
greenville,US,82.13,88,100,12.66,35.6127,-77.3663,1690246795
ar ruways,AE,89.08,70,100,3.62,24.1103,52.7306,1690246795
saint-pierre,RE,67.57,72,0,5.75,-21.3393,55.4781,1690246795
turbat,PK,82.83,81,100,1.86,26.0023,63.044,1690246795
havre,FR,59.4,94,75,11.5,49.5833,0.3333,1690246796
vila franca do campo,PT,72.01,90,37,4.76,37.7167,-25.4333,1690246796
al ghayzah,YE,77.45,91,100,13.8,16.2079,52.176,1690246796
urengoy,RU,70.74,61,42,5.01,65.9667,78.3667,1690246796
st ives,GB,57.52,83,100,9.35,50.2086,-5.4875,1690246796
whakatane,NZ,60.89,79,79,1.01,-37.9585,176.9854,1690246796
guerrero negro,MX,73.87,63,9,15.46,27.9769,-114.0611,1690246682
san ignacio,BZ,89.74,58,0,11.5,17.1561,-89.0714,1690246796
el fasher,SD,88.65,36,98,5.55,13.6279,25.3494,1690246796
pico truncado,AR,36.86,84,100,19.89,-46.7949,-67.9573,1690246796
bang saphan,TH,78.62,86,100,4.99,11.2126,99.5117,1690246797
arkhangel'sk,RU,50.16,98,26,3.85,64.5401,40.5433,1690246797
tisul',RU,62.64,94,100,2.59,55.7611,88.3122,1690246797
yalta,UA,71.13,60,0,4.27,44.5,34.1667,1690246797
zouerate,MR,86.88,24,0,12.88,22.7187,-12.4521,1690246797
cockburn town,TC,83.84,76,1,17.74,21.4612,-71.1419,1690246797
arawa,PG,79.32,91,100,3.0,-6.2132,155.5367,1690246797
zaria,NG,70.59,92,30,7.81,11.1113,7.7227,1690246656
port alfred,ZA,51.6,71,0,6.78,-33.5906,26.891,1690246797
akjoujt,MR,86.67,40,24,12.93,19.6969,-14.4164,1690246797
yei,SS,66.25,95,46,3.6,4.095,30.6779,1690246797
zholymbet,KZ,66.94,47,100,2.95,51.7433,71.7122,1690246797
vorgashor,RU,63.07,75,88,3.13,67.5833,63.95,1690246798
neryungri,RU,72.37,59,100,1.99,56.6709,124.6491,1690246798
kerikeri,NZ,60.91,87,52,1.99,-35.2268,173.9474,1690246798
barwadih,IN,79.97,75,100,2.04,23.8333,84.1167,1690246798
huanren,CN,79.14,74,96,5.1,41.2647,125.3667,1690246798
newport,GB,57.43,89,100,5.82,51.5877,-2.9984,1690246798
punta umbria,ES,73.24,43,0,17.11,37.1821,-6.9661,1690246798
kirakira,SB,82.53,80,12,0.58,-10.4544,161.9205,1690246798
huarmey,PE,69.62,81,22,11.36,-10.0681,-78.1522,1690246798
katsuura,JP,82.51,73,6,8.86,35.1333,140.3,1690246799
cartagena,CO,83.82,79,20,10.36,10.3997,-75.5144,1690246799
pago pago,AS,77.68,72,18,13.31,-14.2781,-170.7025,1690246799
rouissat,DZ,89.67,8,0,0.0,31.9243,5.3502,1690246799
ghanzi,BW,59.43,31,10,7.9,-21.5667,21.7833,1690246799
queenstown,ZA,37.45,55,0,1.79,-31.8976,26.8753,1690246799
paita,PE,71.76,81,46,17.67,-5.0892,-81.1144,1690246799
celestun,MX,83.41,78,100,19.39,20.8667,-90.4,1690246800
ca mau,VN,81.14,83,99,7.11,9.1769,105.15,1690246800
pierre,US,94.93,25,88,15.79,44.3683,-100.351,1690246800
sur,OM,87.94,65,100,14.63,22.5667,59.5289,1690246804
masterton,NZ,53.89,94,100,3.8,-40.9597,175.6575,1690246807
xinzhou,CN,79.84,50,0,5.23,38.4092,112.7333,1690246807
areia branca,BR,79.84,73,5,16.4,-4.9561,-37.1369,1690246807
port blair,IN,78.84,89,75,2.3,11.6667,92.75,1690246808
ghansor,IN,77.09,87,47,2.53,22.65,79.95,1690246808
lazaro cardenas,MX,83.12,74,100,2.33,17.9583,-102.2,1690246597
bayji,IQ,88.09,15,0,3.13,34.9311,43.487,1690246808
tianchang,CN,88.36,41,6,1.14,37.9981,114.0156,1690246809
princeville,CA,73.76,86,0,2.3,45.7668,-61.2985,1690246809
rio preto da eva,BR,77.29,60,30,1.41,-2.6994,-59.6997,1690246809
grajau,BR,75.69,48,2,2.35,-5.8194,-46.1386,1690246809
kavieng,PG,80.53,78,100,4.56,-2.5744,150.7967,1690246809
monrovia,LR,76.77,88,100,9.69,6.3005,-10.7969,1690246810
taghazout,MA,68.77,89,0,4.76,30.5426,-9.7112,1690246810
enewetak,MH,83.57,80,20,16.91,11.3474,162.3373,1690246817
kindu,CD,78.21,43,100,0.27,-2.95,25.95,1690246820
veinticinco de mayo,AR,41.99,80,0,3.0,-35.4323,-60.1727,1690246820
miri,MY,80.74,83,20,3.44,4.4148,114.0089,1690246822
roma,US,68.72,94,75,3.44,43.2128,-75.4557,1690246624
shingu,JP,91.76,51,0,3.13,33.7333,135.9833,1690246818
saint-joseph-du-lac,CA,73.11,74,75,12.66,45.5334,-73.9992,1690246824
yamada,JP,93.24,44,5,4.05,39.4667,141.95,1690246825
ghat,LY,84.97,13,6,2.93,24.9647,10.1728,1690246826
tubarjal,SA,83.05,30,0,8.52,30.4999,38.216,1690246827
huntsville,US,82.65,69,0,1.99,34.7304,-86.5861,1690246827
pratt,US,95.61,41,0,12.66,37.6439,-98.7376,1690246688
tosontsengel,MN,55.02,69,98,3.0,48.7567,98.2839,1690246827
nili,AF,69.49,56,3,2.04,33.7218,66.1302,1690246827
lezajsk,PL,66.52,94,25,6.24,50.2626,22.4193,1690246827
andovoranto,MG,63.93,97,99,2.42,-18.95,49.1,1690246827
hadibu,YE,78.04,72,85,26.15,12.65,54.0333,1690246827
sinan,KR,84.31,90,69,16.22,34.8262,126.1086,1690246827
kharabali,RU,70.41,81,100,5.23,47.4196,47.2568,1690246828
qamdo,CN,39.63,89,100,6.55,31.1667,97.2333,1690246828
fraserburgh,GB,52.43,87,80,11.97,57.6874,-2.0184,1690246828
nizhnesortymskiy,RU,66.79,72,100,4.25,62.4397,71.7603,1690246828
radhanpur,IN,81.72,85,36,9.55,23.8333,71.6,1690246829
baharly,TM,89.15,20,0,3.27,38.4362,57.4316,1690246792
ad dindar,SD,81.01,64,100,6.08,13.2,34.1667,1690246829
sarandi del yi,UY,45.18,94,100,11.16,-33.35,-55.6333,1690246830
lata,PT,54.63,97,6,3.8,40.1629,-8.3327,1690246830
vilyuysk,RU,67.01,58,95,7.85,63.7553,121.6247,1690246830
nuku'alofa,TO,75.54,57,20,4.61,-21.1333,-175.2,1690246830
blenheim,NZ,59.52,68,8,1.99,-41.516,173.9528,1690246830
palikir - national government center,FM,82.87,78,22,13.58,6.9248,158.1611,1690246830
petrovsk,RU,57.92,84,6,3.96,52.3064,45.3917,1690246830
manokwari,ID,83.89,65,5,2.42,-0.8667,134.0833,1690246830
wuhai,CN,85.55,35,8,18.39,39.6647,106.8122,1690246831
koraput,IN,70.9,91,100,1.88,18.8167,82.7167,1690246831
saint-philippe,RE,65.79,88,23,1.95,-21.3585,55.7679,1690246831
turpan,CN,97.07,20,0,5.77,42.9333,89.1667,1690246831
chinchilla,AU,65.88,41,0,20.33,-26.75,150.6333,1690246831
leua,SK,67.3,77,100,4.32,48.2156,18.6071,1690246831
prado,BR,67.91,93,32,3.71,-17.3411,-39.2208,1690246832
diego de almagro,CL,51.57,75,100,2.33,-26.3667,-70.05,1690246832
kotido,UG,67.24,85,62,2.26,2.9806,34.1331,1690246832
isfahan,IR,67.64,15,6,2.35,32.6572,51.6776,1690246808
romanovo,RU,65.23,70,9,12.33,52.6182,81.2271,1690246832
touba,CI,70.75,98,100,2.75,8.2833,-7.6833,1690246832
usogorsk,RU,54.12,99,100,4.76,63.4106,48.6872,1690246832
an nuhud,SD,86.05,48,100,12.17,12.7,28.4333,1690246832
pulsano,IT,86.18,82,0,1.01,40.3821,17.3564,1690246833
ocean shores,US,63.28,96,100,17.27,46.9737,-124.1563,1690246833
kayangel,PW,82.98,77,100,8.95,8.0823,134.7173,1690246833
prince albert,CA,78.75,61,75,16.11,53.2001,-105.7677,1690246643
changyon,KP,79.88,82,100,9.57,38.2508,125.0961,1690246833
limon,CR,75.09,94,75,8.05,10.0,-83.0333,1690246833
norrtalje,SE,62.08,86,100,4.81,59.758,18.705,1690246833
beyneu,KZ,87.08,28,100,8.41,45.3167,55.2,1690246833
campbellton,CA,77.45,74,95,0.78,48.0075,-66.6727,1690246834
bakchar,RU,62.94,90,100,3.27,57.0186,82.0711,1690246834
peace river,CA,68.31,68,100,9.22,56.2501,-117.286,1690246834
calvinia,ZA,44.04,36,100,9.04,-31.4707,19.776,1690246834
escanaba,US,73.36,73,0,3.44,45.7453,-87.0646,1690246834
rio branco,BR,74.01,88,0,1.14,-9.9747,-67.81,1690246834
bel ombre,SC,76.84,88,75,11.5,-4.6167,55.4167,1690246834
touros,BR,75.42,83,18,13.56,-5.1989,-35.4608,1690246756
fort mcmurray,CA,85.59,39,0,8.05,56.7268,-111.381,1690246809
banda aceh,ID,82.89,68,99,12.66,5.5577,95.3222,1690246800
independence,US,89.19,57,0,8.05,39.0911,-94.4155,1690246835
pearsall,US,98.62,44,74,19.8,28.8922,-99.095,1690246835
zhytkavichy,BY,62.83,96,100,5.57,52.2168,27.8561,1690246835
saldanha,ZA,53.22,74,0,12.73,-33.0117,17.9442,1690246836
rancho palos verdes,US,91.42,83,20,17.27,33.7445,-118.387,1690246737
pacasmayo,PE,69.66,86,100,15.66,-7.4006,-79.5714,1690246836
alesund,NO,59.76,89,100,14.97,62.4723,6.1549,1690246836
villa la venta,MX,82.96,78,47,9.53,18.1,-94.05,1690246836
gadzhiyevo,RU,48.83,94,100,11.14,69.2551,33.3362,1690246836
bataipora,BR,68.56,48,0,4.63,-22.2953,-53.2711,1690246837
ulsteinvik,NO,59.76,88,100,11.99,62.3432,5.8487,1690246837
weno,FM,81.9,82,100,16.08,7.4515,151.8468,1690246837
onega,RU,52.45,95,59,9.01,63.9061,38.1404,1690246837
darwin,AU,68.9,26,0,19.57,-12.4611,130.8418,1690246813
kargopol',RU,50.95,96,87,4.36,61.5071,38.9456,1690246837
black point,AU,55.17,72,0,6.6,-34.6187,137.8972,1690246838
gokwe,ZW,54.79,28,0,4.99,-18.2048,28.9349,1690246838
severo-yeniseyskiy,RU,64.76,78,11,1.48,60.3725,93.0408,1690246838
udhampur,IN,77.02,81,50,4.97,32.9333,75.1333,1690246838
belaya kholunitsa,RU,50.43,97,0,4.0,58.84,50.8528,1690246838
boa vista,BR,80.58,83,20,3.44,2.8197,-60.6733,1690246830
taroa,MH,83.46,79,16,15.48,8.7058,171.2275,1690246838
masvingo,ZW,54.25,41,0,6.58,-20.0637,30.8277,1690246839
howard springs,AU,68.83,40,100,18.77,-12.497,131.047,1690246840
sandnessjoen,NO,54.12,92,100,12.28,66.0217,12.6316,1690246840
beberibe,BR,79.74,77,4,14.58,-4.1797,-38.1306,1690246840
ha tinh,VN,83.21,77,9,2.33,18.3333,105.9,1690246840
binzhou,CN,89.26,54,11,3.44,37.3667,118.0167,1690246840
brunico,IT,61.95,98,100,1.45,46.7958,11.9364,1690246840
boguchany,RU,65.44,88,100,1.9,58.3814,97.4531,1690246840
aktau,KZ,81.18,56,100,17.2,43.65,51.2,1690246698
robertsport,LR,76.77,89,100,6.87,6.7533,-11.3686,1690246840
hobyo,SO,76.33,75,32,24.81,5.3505,48.5268,1690246841
lensk,RU,84.38,41,0,3.47,60.7253,114.9278,1690246841
chanika,TZ,65.46,84,100,6.06,-5.4167,38.0167,1690246842
jaguarao,BR,50.61,96,100,14.29,-32.5661,-53.3758,1690246842
arno,SE,59.7,90,47,9.19,60.1167,18.6333,1690246842
rakops,BW,60.85,22,53,5.39,-21.0167,24.3333,1690246842
trincomalee,LK,79.56,77,100,10.18,8.5711,81.2335,1690246842
igrim,RU,60.08,92,100,3.89,63.1906,64.4162,1690246842
mandapam,IN,81.79,68,100,14.88,9.2833,79.1167,1690246842
fortuna,US,68.99,71,0,12.66,40.5982,-124.1573,1690246843
nanaimo,CA,60.89,92,100,23.02,49.1663,-123.936,1690246745
